,features,score
0,work,0.5158189420093537
1,position,0.5158189420093537
2,complete,0.5158189420093537
0,answer,0.4658858307248743
1,following,0.4658858307248743
2,regard,0.4658858307248743
0,project,0.5773502691896257
1,brief,0.5773502691896257
2,description,0.5773502691896257
0,faculty,0.3590156070501845
1,college,0.3590156070501845
2,valuable,0.3590156070501845
0,course,0.45462112650335085
1,wish,0.30105076022437416
2,taken,0.30105076022437416
0,begin,0.4285498397999928
1,lmu,0.42149176665619775
2,immediate,0.27272170902963716
0,graduate,0.5103300024537414
1,school,0.3956120178495035
2,applying,0.2221409280844124
0,job,0.719047671191866
1,indicate,0.3217016597007466
2,employer,0.21517875722464525
0,internship,0.314119607791605
1,student,0.3097283269008269
2,lmu,0.3047068273407423
