,Topic,Word,P
0,0,faculty,0.06944467
1,0,department,0.06944443
2,0,interaction,0.069444366
3,1,comment,0.012345682
4,1,advising,0.012345681
5,1,experience,0.01234568
6,2,lmu,0.08119701
7,2,department,0.081196025
8,2,graduation,0.04273527
9,3,mathematics,0.052910425
10,3,feel,0.05291022
11,3,confidence,0.052910212
12,4,experience,0.050505266
13,4,.,0.05050514
14,4,advising,0.050505053
15,5,course,0.08888985
16,5,unit,0.08888929
17,5,department,0.088889256
18,6,math,0.116502404
19,6,division,0.10403967
20,6,upper,0.07837193
21,7,advising,0.08796426
22,7,feel,0.087962754
23,7,transition,0.046296287
24,8,division,0.10823426
25,8,lower,0.08264428
26,8,course,0.08264397
